IV,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE
61.86,54.95,56.1,"2,850",460
58.34,47.6,48.1,"2,850",470
56.59,40.5,40.9,"5,700",480
53.34,34.2,34.4,"2,850",490
52.32,28.6,28.7,"2,850",500
51.6,23.75,23.9,"5,700",510
50.88,19.4,19.5,"2,850",520
50.27,15.65,15.8,"2,850",530
50.05,12.65,12.8,"2,850",540
49.7,10.1,10.2,"8,550",550
49.65,8.1,8.2,"14,250",560
49.87,6.5,6.55,"5,700",570
50.28,5.25,5.35,"19,950",580
50.93,4.3,4.4,"37,050",590
52.07,3.6,3.7,"28,500",600
52.72,2.9,3,"17,100",610
53.02,2.4,2.5,"34,200",620
53.82,2,2.05,"17,100",630
